"Mixing","Separation","Strategy","KL.Small.N","ARIU.Small.N","KL.Large.N","ARIU.Large.N"
"Unequal Mix.","Weakly Separated","FIML",0,NA,0,NA
"Unequal Mix.","Weakly Separated","EMS-MVN.",79.8972777643841,6.44332783105437,57.4970672336997,0.645283724864151
"Unequal Mix.","Weakly Separated","MICE-PMM",67.3891858646807,5.67903760080618,59.7929519321136,0.636332312617667
"Unequal Mix.","Weakly Separated","MICE-CART",36.0206660056424,6.70769641231183,73.3400694058336,0.990307017083311
"Unequal Mix.","Weakly Separated","MICE-RF",51.8861892054856,6.42023705945373,72.7553868655755,0.691705050388277
"Unequal Mix.","Strongly Separated","FIML",0,NA,0,NA
"Unequal Mix.","Strongly Separated","EMS-MVN.",57.0315175433513,1.41061064984767,14.3240575256171,0.717442738116157
"Unequal Mix.","Strongly Separated","MICE-PMM",57.4241052881605,1.30011874731733,37.1817350656667,0.640390796676476
"Unequal Mix.","Strongly Separated","MICE-CART",50.9061956808298,1.59913958282762,73.6303347027014,0.734128488218074
"Unequal Mix.","Strongly Separated","MICE-RF",56.3037609235511,1.53787037140607,68.2817616106929,0.77921967655842
"Equal Mix.","Weakly Separated","FIML",0,NA,0,NA
"Equal Mix.","Weakly Separated","EMS-MVN.",74.6680950395364,1.08993617882344,42.0413926889717,0.596907018636068
"Equal Mix.","Weakly Separated","MICE-PMM",60.6792363796994,1.20470094202749,40.7429825689421,0.539563339093268
"Equal Mix.","Weakly Separated","MICE-CART",44.7348142641696,1.74744061532076,71.273707457049,0.634893309271059
"Equal Mix.","Weakly Separated","MICE-RF",57.4707044843933,1.46946090077901,68.8854717969911,0.515198740497772
"Equal Mix.","Strongly Separated","FIML",0,NA,0,NA
"Equal Mix.","Strongly Separated","EMS-MVN.",36.0183313221073,0.878289359699937,-8.94827509346262,0.766809528591575
"Equal Mix.","Strongly Separated","MICE-PMM",33.8715117735115,0.737684266968354,10.2061169521589,0.603162746322696
"Equal Mix.","Strongly Separated","MICE-CART",46.0922106257875,0.711230864190774,73.9294961822906,0.629881958245552
"Equal Mix.","Strongly Separated","MICE-RF",48.1106442154303,0.779857873992318,66.3754072476054,0.587667934073241
